Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged
"Sharpe, Tess",Far from you,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2014,,
"Callender, Kacen",Felix ever after,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2020,,
"Sim, Tara",Firestarter,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,STATUS UPDATE: 3/13/22: NEVER EXISTED IN LIBRARY,,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2019,,
"Quintero, Isabel","Gabi, a girl in pieces",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2014,,
"Hartinger, Brent",Geography Club,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2004,,
"Cohn, Rachel",Gingerbread,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2003,,
"Limb, Sue","Girl, nearly 16, absolute
 torture",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2005,,
"Moskowitz,
 Hannah","Gone, gone, gone",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2012,,
"Smith, Andrew","Grasshopper jungle : a
 history",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2015,,
"Lieberman, Leanne",Gravity,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,LOST,,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2008,,
"Benincasa, Sara",Great,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2014,,
"Peters, Julie Ann",Grl2grl: Short Fictions,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2007,,
"London, Alex",Guardian,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2015,,
"Walden, Mark",H.I.V.E. : dreadnought,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2011,,
"Hawkins, Rachel",Her royal highness,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2019,,
"Silvera, Adam",History is all you left me,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2017,,
"Levithan, David",Hold Me Closer,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2015,,
"Greenman, Catherine",Hooked,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,LOST,,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2011,,
"Cotugno, Katie",How to love : a novel,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2015,,
"Nelson, Jandy",I'll give you the sun,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2015,,
"Sommer, Carl","If You're Scared of the Truth, Don't Read",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2009,,
"Polacco, Patricia",In our mothers' house,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2009,,
"Silvera, Adam",Infinity son,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2020,,
"Homes, AM",Jack,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,1990,,
"Kann, Claire",Let's talk about love,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2019,,
"Podos, Rebecca",Like Water,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2017,,
"Glines, Abbi",Losing the Field,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,BANNED,"Removed 1/11/22 for ""overtly sexual content""",,,,,,,
"Wells, Maggie",Luciana,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2016,,
"Papademetriou, Lisa",M or F: A Novel,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2005,,
"Glines, Abbi",Making a Play,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2019,,
"McClintock, Norah",Masked,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,LOST,,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2010,,
"Andrews, Jesse",Me and Earl and the Dying Girl,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2015,,
"Armentrout, Jennifer L.",Meet Cute,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2018,,
"Nowinski, Hanna",Meg & Linus,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Gino, Alex",Melissa (George),Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,,,
"Salazar, Aida",Migration North,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Rutledge, A. B.",Miles Away From You,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Silvera, Adam",More Happy Than Not,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Rudetsky, Seth",My Awful Popularity Plan,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Bjorkman, Lauren",My Invented Life,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Gennari, Jennifer",My Mixed-Up Berry Blue Summer,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Kluger, Steve","My Most Excellent Year: A Novel of Love, Mary Poppins, & Fenway Park",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Cohn, Rachel",Naomi and Ely's No Kiss List: A Novel,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Craft, Jerry",New Kid,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Hughes, Susan","No Girls Allowed: Tales of Daring Women Dressed as Men for Love, Freedom and Adventure",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Cook, Trish",Notes from the Blender,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Coulthurst, Audrey",Of Fire and Stars,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Sones, Sonya",One of those Hideous Books Where the Mother Dies,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Konigsberg, Bill",Openly Straight,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Grimes, Nikki",Ordinary Hazards: A Memoir,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Perez, Ashley Hope",Out of DarkNESS,Granbury Independent School District,Texas,,3/11/22,,BANNED,Removed from shelves,,,,,,,
"Hutchinson, Shaun David","Past and Other Things that Should Stay Buried, The",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Wilke, Daria",Playing a Part,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"London, Alex",Proxy,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Peters, Julie Ann",Rage: A Love Story,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,LOST,,,,,,,,
"Clare, Cassandra","Red Scrolls of Magic, The (e-book)",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Gold, Susan Dudley",Roe v. Wade: A Women's Choice,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Hyde, Margaret O.",Safe Sex 101: An Overview for Teens,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Tonatiuh, Duncan",Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Peters, Julie Anne","She Loves You, She Loves You Not-- : a Novel",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Anderson, Laurie Halse",Shout,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Bick, Ilsa J.","Sin Eater's Confession, The",Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Lyon, George Ella",Sonny's House of Spies,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Jacobson, Jennifer",Stained,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Kendi, Ibram",Stamped from the Beginning: The Definitive History of Racist Ideas in America,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Dee, Barbara",Star-Crossed,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Crutcher, Chris",Staying Fat for Sarah Byrnes,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Garvin, Jeff",Symptoms of Being Human,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Johnson, Kathleen Jeffrie",Target,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Franklin, Emily",Tessa Masterson Will Go to Prom,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and teh Crime that Changed Their Lives,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Blackall, Sophie",The Baby Tree,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Peck, Richard",The Best Man,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"de Gramont, Nina",The Boy I Love,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Lookadoo, Justin",The Dateable Rules: A Guide to the Sexes,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Stamper, Phil",The Gravity of Us,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Harmon, Michael B.",The Last Exit to Normal,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Smith, Amber",The Last to Let Go,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Dietrich, Cale",The Love Interest,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Rutkoski, Marie",The Midnight Lie,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Danforth, Emily",The Miseducation of Cameron Post,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Albertalli, Becky",The Upside of Unrequited,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Glines, Abbi",The Vincent Brothers,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,BANNED,"Removed 1/11/22 for ""overtly sexual content""",,,,,,,
"Howard, Greg",The Whispers,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Silvera, Adam",They both die at the end,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2017,,
"Bertoletti, Susan Campbell",They Called Themselves the KKK: The Birth of an American Terrorist Group,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2010,,
"Dawnson, Juno and David Levithan",This Book Is Gay,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,BANNED,Removed from shelves,updated 3/11/22,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2015,,
"Howe, James",Totally Joe,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2005,,
"Glines, Abbi",Under the Lights,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2016,,
"Hendriks, Jenni",Unpregnant,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2019,,
"Glines, Abbi",Until Friday Night,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,BANNED,"Removed 1/11/22 for ""overtly sexual content""",,,,,,,
"Glines, Abbi",Until the End,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,BANNED,"Removed 1/11/22 for ""overtly sexual content""",,,,,,,
