level_0,old_index,State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Illustrator(s),Translator(s),description,publishedDate,categories,cluster,pca1,pca2,pca3
155,171,Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Stone, Nic",Odd One Out,,,,"High school juniors and best friends Courtney and Jupe, and new sophomore Rae, explore their sexuality and their budding attractions for one another.",2018,young adult fiction,8,0.9023134,1.9030504,1.249468
156,172,Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,,,,"When a handsome senior boy enters their mix, friends Josie, Nicolette, and Aviva soon find themselves in questionable situations where each girl must make the right decision before their personal sacrifices become too great.",2007,juvenile fiction,8,-3.076007,2.6626148,0.3801444
157,174,Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Telgemeier, Raina",Drama: A Graphic Novel,,,,"Callie rides an emotional roller coaster while serving on the stage crew for a middle school production of Moon over Mississippi as various relationships start and end, and others never quite get going.",2012,juvenile fiction,10,-2.5106952,2.337655,-1.1504215
158,175,Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Thomas, Aiden",Cemetery Boys,,,,"A trans boy determined to prove his gender to his traditional Latinx family summons a ghost who refuses to leave in Aiden Thomas's New York Times-bestselling paranormal YA debut Cemetery Boys, described by Entertainment Weekly as ""groundbreaking."" Yadriel has summoned a ghost, and now he can't get rid of him. When his traditional Latinx family has problems accepting his true gender, Yadriel becomes determined to prove himself a real brujo. With the help of his cousin and best friend Maritza, he performs the ritual himself, and then sets out to find the ghost of his murdered cousin and set it free. However, the ghost he summons is actually Julian Diaz, the school's resident bad boy, and Julian is not about to go quietly into death. He's determined to find out what happened and tie off some loose ends before he leaves. Left with no choice, Yadriel agrees to help Julian, so that they can both get what they want. But the longer Yadriel spends with Julian, the less he wants to let him leave. Praise for Cemetery Boys: Longlisted for the National Book Award ""The novel perfectly balances the vibrant, energetic Latinx culture while delving into heavy topics like LGBTQ+ acceptance, deportation, colonization, and racism within authoritative establishments."" —TeenVogue.com ""This stunning debut novel from Thomas is detailed, heart-rending, and immensely romantic. I was bawling by the end of it, but not from sadness: I just felt so incredibly happy that this queer Latinx adventure will get to be read by other kids. Cemetery Boys is necessary: for trans kids, for queer kids, for those in the Latinx community who need to see themselves on the page. Don’t miss this book."" —Mark Oshiro, author of Anger is a Gift",2020-09-01,young adult fiction,2,-2.0280132,-0.45289275,1.3719616
159,178,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Thompson, Craig",Blankets,,,,"""Quaint, meditative and sometimes dreamy, blankets will take you straight back to your first kiss."" --The Guardian Blankets is the story of a young man coming of age and finding the confidence to express his creative voice. Craig Thompson's poignant graphic memoir plays out against the backdrop of a Midwestern winterscape: finely-hewn linework draws together a portrait of small town life, a rigorously fundamentalist Christian childhood, and a lonely, emotionally mixed-up adolescence. Under an engulfing blanket of snow, Craig and Raina fall in love at winter church camp, revealing to one another their struggles with faith and their dreams of escape. Over time though, their personal demons resurface and their relationship falls apart. It's a universal story, and Thompson's vibrant brushstrokes and unique page designs make the familiar heartbreaking all over again. This groundbreaking graphic novel, winner of two Eisner and three Harvey Awards, is an eloquent portrait of adolescent yearning; first love (and first heartache); faith in crisis; and the process of moving beyond all of that. Beautifully rendered in pen and ink, Thompson has created a love story that lasts.",2015-10-13,comics & graphic novels,3,0.3888135,-2.3416247,2.1705458
160,179,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"von Ziegesar, Cecily",Gossip Girl: A Novel by Cecily von Ziegesar (Gossip Girl Series),,,,"Welcome to New York City's Upper East Side, where my friends and I live, go to school, play, and sleep-sometimes with each other. It's a luxe life, but someone's got to live it . . . until they die. So begins Gossip Girl, Psycho Killer, a re-imagined and expanded slasher edition of the first groundbreaking Gossip Girl novel, featuring all new grisly scenes and over-the-top gore by #1 New York Times bestselling author Cecily von Ziegesar. Just as in the original story, Serena returns from boarding school hoping to make amends with her BFF Blair Waldorf--things just haven't been the same since Nate Archibald came between them. But here's where our dark tale takes a turn: Serena decides that the only way for her to make things right with Blair is to eliminate Nate. If that means killing him, well, c'est la vie. Her attempted murder doesn't go unnoticed by Blair, however, who isn't about to let Serena kill whoever she wants-not when there's Cyrus Rose and Chuck Bass and Titi Coates and everyone else who's ever irritated Blair to get rid of first . . . . American Psycho's Patrick Bateman has met his match in Manhattan's newest, most fabulous trendsetting serial killers, Blair Waldorf and Serena van der Woodsen.",2011-10-03,young adult fiction,2,-1.2854043,0.28988352,-0.9553006
161,180,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Walden, Tillie",Spinning,,,,"Tillie Walden's Eisner Award winning graphic memoir Spinning captures what it’s like to come of age, come out, and come to terms with leaving behind everything you used to know. It was the same every morning. Wake up, grab the ice skates, and head to the rink while the world was still dark. Weekends were spent in glitter and tights at competitions. Perform. Smile. And do it again. She was good. She won. And she hated it. For ten years, figure skating was Tillie Walden’s life. She woke before dawn for morning lessons, went straight to group practice after school, and spent weekends competing at ice rinks across the state. Skating was a central piece of her identity, her safe haven from the stress of school, bullies, and family. But as she switched schools, got into art, and fell in love with her first girlfriend, she began to question how the close-minded world of figure skating fit in with the rest of her life, and whether all the work was worth it given the reality: that she, and her friends on the team, were nowhere close to Olympic hopefuls. The more Tillie thought about it, the more Tillie realized she’d outgrown her passion—and she finally needed to find her own voice. This title has Common Core connections. A New York City Public Library Notable Best Book for Teens A Chicago Public Library Best Book of 2017 A 2018 YALSA Great Graphic Novel A 2017 Booklist Youth Editors' Choice",2017-09-12,young adult nonfiction,2,-0.02543405,1.1923691,-2.384928
162,181,Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Walker, Alice",The Color Purple,,,,"Winner of the Pulitzer Prize and the National Book Award, this novel about a resilient and courageous woman has become a Broadway show and a cultural phenomenon. A PBS Great American Read Top 100 Pick Celie has grown up poor in rural Georgia, despised by the society around her and abused by her own family. She strives to protect her sister, Nettie, from a similar fate, and while Nettie escapes to a new life as a missionary in Africa, Celie is left behind without her best friend and confidante, married off to an older suitor, and sentenced to a life alone with a harsh and brutal husband. In an attempt to transcend a life that often seems too much to bear, Celie begins writing letters directly to God. The letters, spanning twenty years, record a journey of self-discovery and empowerment guided by the light of a few strong women. She meets Shug Avery, her husband’s mistress and a jazz singer with a zest for life, and her stepson’s wife, Sophia, who challenges her to fight for independence. And though the many letters from Celie’s sister are hidden by her husband, Nettie’s unwavering support will prove to be the most breathtaking of all. The Color Purple has sold more than five million copies, inspired an Academy Award–nominated film starring Oprah Winfrey and directed by Steven Spielberg, and been adapted into a Tony-nominated Broadway musical. Lauded as a literary masterpiece, this is the groundbreaking novel that placed Walker “in the company of Faulkner” (The Nation), and remains a wrenching—yet intensely uplifting—experience for new generations of readers. This ebook features a new introduction written by the author on the twenty-fifth anniversary of publication, and an illustrated biography of Alice Walker including rare photos from the author’s personal collection. The Color Purple is the 1st book in the Color Purple Collection, which also includes The Temple of My Familiar and Possessing the Secret of Joy.",2011-09-20,fiction,6,-1.204597,-0.52271473,-1.2116057
163,182,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Walls, Jeannette",The Glass Castle,,,,"Journalist Walls grew up with parents whose ideals and stubborn nonconformity were their curse and their salvation. Rex and Rose Mary and their four children lived like nomads, moving among Southwest desert towns, camping in the mountains. Rex was a charismatic, brilliant man who, when sober, captured his children's imagination, teaching them how to embrace life fearlessly. Rose Mary painted and wrote and couldn't stand the responsibility of providing for her family. When the money ran out, the Walls retreated to the dismal West Virginia mining town Rex had tried to escape. As the dysfunction escalated, the children had to fend for themselves, supporting one another as they found the resources and will to leave home. Yet Walls describes her parents with deep affection in this tale of unconditional love in a family that, despite its profound flaws, gave her the fiery determination to carve out a successful life. -- From publisher description.",2006-01-02,biography & autobiography,10,-2.4762905,-0.25054362,-1.8883064
164,183,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Walton, K. M.",Empty,,,,"Deeply depressed after her father cheated on and divorced her mother, 17-year-old Adele has gained over 70 pounds and is being bullied and abused at school—to the point of being raped and accused of being the aggressor. From the author of Cracked.",2013-12-03,juvenile fiction,6,-2.6708848,1.9375014,3.5844588
165,184,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Whitcomb, Laura",A Certain Slant of Light,,,,"A sequel to A Certain Slant of Light finds Jenny haunted by a trapped Helen while continuing her relationship with Billy in the tumultuous realm of the living, where they are torn apart as they slowly remember falling in love. 30,000 first printing.",2013,juvenile fiction,6,-2.8541572,1.2114726,2.1676981
166,185,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Wilson, Lakita",What Is Black Lives Matter? (What was...? Series),,"Copeland, Gregory",,"From the #1 New York Times bestselling series comes the latest title in the Who HQ Now format for trending topics. It tells the history of a political and social movement that advocates for non-violent civil disobedience and protests against incidents of police brutality--and all racially motivated violence--against Black people. When a Black teenager named Trayvon Martin was senselessly killed in 2012, the African American community called for his murderer to be held accountable. But like many other racially sparked incidents in the past, his killer walked free. People looked for justice and healing in the moment. They turned to social media and a simple yet powerful hashtag emerged, #BlackLivesMatter. The message grew into an international movement and has now become the rallying cry during protests against police brutality and racial acts of violence. The movement gained even more attention and support in 2020 when it called for police reform in the United States after the police-related murder of George Floyd.",2021-09-21,juvenile nonfiction,7,2.217225,-0.48087856,1.8009733
167,187,Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Zoboi, Ibi",Black Enough: Stories of Being Young & Black in America,,,,"Edited by National Book Award finalist Ibi Zoboi, and featuring some of the most acclaimed bestselling Black authors writing for teens today—Black Enough is an essential collection of captivating stories about what it’s like to be young and Black in America. A selection of the Schomburg Center's Black Liberation Reading List. Black is...sisters navigating their relationship at summer camp in Portland, Oregon, as written by Renée Watson. Black is…three friends walking back from the community pool talking about nothing and everything, in a story by Jason Reynolds. Black is…Nic Stone’s high-class beauty dating a boy her momma would never approve of. Black is…two girls kissing in Justina Ireland’s story set in Maryland. Black is urban and rural, wealthy and poor, mixed race, immigrants, and more—because there are countless ways to be Black enough. Contributors: Justina Ireland Varian Johnson Rita Williams-Garcia Dhonielle Clayton Kekla Magoon Leah Henderson Tochi Onyebuchi Jason Reynolds Nic Stone Liara Tamani Renée Watson Tracey Baptiste Coe Booth Brandy Colbert Jay Coles Ibi Zoboi Lamar Giles",2019-01-08,young adult fiction,1,1.9829476,-0.749414,-0.7113853
168,194,Florida,Polk County Schools,Administrator,January 2022,Banned Pending Investigation,"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",,"Emberley, Michael",,"Introduces human sexuality, describes the changes brought about by puberty, and discusses sexual abuse, sexually transmitted diseases, AIDS, and pregnancy.",2004,juvenile nonfiction,4,7.187322,4.4967403,3.4517918
169,197,Florida,Polk County Schools,Administrator,January 2022,Banned Pending Investigation,"Jennings, Jazz",I am Jazz,"Herthel, Jessica","McNicholas, Shelagh",,"The story of a transgender child based on the real-life experience of Jazz Jennings, who has become a spokesperson for transkids everywhere ""This is an essential tool for parents and teachers to share with children whether those kids identify as trans or not. I wish I had had a book like this when I was a kid struggling with gender identity questions. I found it deeply moving in its simplicity and honesty.""—Laverne Cox (who plays Sophia in “Orange Is the New Black”) From the time she was two years old, Jazz knew that she had a girl's brain in a boy's body. She loved pink and dressing up as a mermaid and didn't feel like herself in boys' clothing. This confused her family, until they took her to a doctor who said that Jazz was transgender and that she was born that way. Jazz's story is based on her real-life experience and she tells it in a simple, clear way that will be appreciated by picture book readers, their parents, and teachers.",2014-09-04,juvenile nonfiction,7,2.7633991,1.9194043,-0.8866433
170,198,Florida,Polk County Schools,Administrator,January 2022,Banned Pending Investigation,"Katcher, Brian",Almost Perfect,,,,"With his mother working long hours and in pain from a romantic break-up, eighteen-year-old Logan feels alone and unloved until a zany new student arrives at his small-town Missouri high school, keeping a big secret.",2010,juvenile fiction,6,-5.669922,3.2772772,0.8984463
171,199,Florida,Polk County Schools,Administrator,January 2022,Banned Pending Investigation,"Levithan, David",Two Boys Kissing,,,,"A chorus of men who have died of AIDS observes and yearns to help a cross-section of today's gay teens who navigate new love, long-term relationships, coming out, self-acceptance and more in a society that has changed in many ways. By the author of Boy Meets Boy.",2013,juvenile fiction,8,-0.1517882,-0.54625964,4.0218935
172,216,Georgia,Forsyth County Schools,Administrator,January 2022,Banned from Libraries and Classrooms,"Rivera, Gabby",Juliet Takes a Breath,,,,"""Juliet, a self-identified queer, Bronx-born Puerto Rican-American, comes out to her family to disastrous results the night before flying to Portland to intern with her feminist author icon--whom Juliet soon realizes has a problematic definition of feminism that excludes women of color""--",2021-05-11,young adult fiction,6,-0.19096623,2.9579332,1.4164978
173,221,Illinois,Lake Forest Schools,Formal Challenge,Fall 2021,Banned from Libraries,"Vaughan, Brian K.","Saga, Volume 1 (Saga Series)",,"Staples, Fiona",,"""The sweeping tale of one young family fighting to find their place in the universe. When two soldiers from opposite sides of a never-ending galactic war fall in love, they risk everything to bring a fragile new life into a dangerous old world""--Page 4 of cover (volume 1).",2012,extraterrestrial beings,8,-3.8557494,-0.25951967,1.7090302
174,223,Indiana,Carmel Clay Schools,Administrator,July 2021,Banned Pending Investigation,"Finch, Michelle",Phoenix Goes to School: A Story to Support Transgender and Gender Diverse Children,"Finch, Phoenix","Davey, Sharon",,"My Mommy tells me I'm perfect and to be brave. ""You know who you are,"" she says, ""Just be yourself and always listen to your heart."" With those words of encouragement from her Mom, Phoenix is preparing for her first day of school. She is excited but scared of being bullied because of her gender identity and expression. Yet when she arrives at school she finds help and support from teachers and friends, and finds she is brave enough to talk to other kids about her gender! This is an empowering and brightly-illustrated children's book for children aged 3+ to help children engage with gender identity in a fun, uplifting way. It supports trans children who are worried about being bullied or misunderstood.",2018-07-19,juvenile fiction,9,0.3128513,0.84468776,-5.857882
175,226,Indiana,Carmel Clay Schools,Administrator,July 2021,Banned from Libraries and Classrooms,"Lukoff, Kyle",Call Me Max (Max and Friends Series),,"Lozano, Luciano",,"When Max starts school, the teacher hesitates to call out the name on the attendance sheet. Something doesn't seem to fit. Max lets her know the name he wants to be called by--a boy's name. This begins Max's journey as he makes new friends and reveals his feelings about his identity to his parents. Written with warmth and sensitivity by trans writer Kyle Lukoff, this book is a sweet and age-appropriate introduction to what it means to be transgender.",2019-10-15,,8,-1.0348021,1.3268107,0.9071674
176,229,Indiana,Carmel Clay Schools,Administrator,July 2021,Banned from Libraries,"Pardes, Bronwen","Doing It Right: Making Smart, Safe, and Satisfying Choices About Sex",,,,"Enjoy responsibly. Sex. Sometimes it feels like everybody's doing it. Maybe you are. Maybe you're thinking about it. Maybe it's years away. Whatever. You need to be ready -- in your head, and down there. You have to know the right stuff in order to do it. Got questions? Who doesn't. ""The Sex Lady"" will break it down for you. • Does size matter? • How do you prevent STDs? • What birth control options are there? • If someone says they're a virgin, what does that mean? • Am I ready? Am I normal? The more you know, the easier it is to make safe -- and smart -- decisions about sex.",2013-03-05,juvenile nonfiction,8,-0.05075731,1.6033016,0.37452915
177,231,Indiana,Middlebury Community Schools,Administrator,Fall 2021,Banned from Libraries,"Benway, Robin",Far from the Tree,,,,"WINNER OF THE U.S. NATIONAL BOOK AWARD 2017 FOR YOUNG PEOPLE'S LITERATURE! 'Sometimes, family hurts each other. But after that's done you bandage each other up, and you move on. Together. So you can go and think that you're some lone wolf, but you're not. You've got us now, like it or not, and we've got you.' When 16 year-old Grace gives up her baby for adoption, she decides that the time has come to find out more about her own biological mother. Although her biological mum proves elusive, her search leads her to two half-siblings she never knew existed. Maya, 15, has been adopted by wealthy parents and seems to have the picture-perfect family - that is, if you look past her alcoholic mother and the fact that Maya stands out like a sore thumb. Older brother Joaquin hasn't been so lucky. At 18, he's shuffled between foster home after foster home, always careful never to get attached to anyone or anything, because it always gets taken away. When these three siblings come together, they find in themselves the place they can belong, while the secrets they guard threaten to explode... For fans of John Green, Rainbow Rowell and Nicola Yoon, Far From the Tree is a raw, compelling, and ultimately uplifting story of what it means to be family. 'Benway's unforgettable novel explores the paradoxes and entanglements of unconventional families ... It's a melodrama, to be sure, but with as much brain as heart. Benway writes with remarkable control and has the rare talent of almost vanishing as an author as she inhabits each character's perspective.' The New York Times 'Family issues are neither airbrushed nor oversimplified... From the first page to the last, this compassionate, funny, moving, compulsively readable novel about what makes a family gets it right.' Kirkus Reviews 'Equally heartwarming and heart-wrenching... Benway delves into the souls of these characters as they wrestle to overcome feelings of inadequacy, abandonment, and betrayal, gradually coming to understand themselves and each other.' Publishers Weekly 'Far from the Tree is the kind of book that strikes close to a reader's heart. I had to know what happened to Grace, Maya, and Joaquin, and I couldn't turn the pages fast enough. Beautiful.' Ally Condie, author of The Matched Trilogy 'Far From the Tree is a touching story about the strength and love of unconventional families, and the unbreakable bond of siblings near and far. Robin Benway's characters are authentically crafted, full of heart, hurt, and hope.' Brandy Colbert, author of Pointe and Little & Lion 'In the eloquent confidence of its life-embracing argument, the book really is something special' The Wall Street Journal Praise for Emmy & Oliver: 'Robin Benway writes with her full heart. Emmy & Oliver is a genuinely sweet and funny novel bursting with the inextinguishable forces of love-between parents and children, distant and inseparable friends, new and reunited lovers.' Stephanie Perkins, New York Times bestselling author of Isla and the Happily Ever After 'Emmy & Oliver is wonderful. Funny, heartbreaking, and true. Robin Benway has written characters I felt like I'd known forever, and was so sad to see go. A must-read.' Morgan Matson, author of Since You've Been Gone",2018-02-08,adopted children,6,-2.7188637,2.7456021,0.07053653
178,232,Indiana,Middlebury Community Schools,Administrator,Fall 2021,Banned from Libraries,"King, A. S.",Everybody Sees the Ants,,,,"Lucky Linderman didn't ask for his life. He didn't ask his grandfather not to come home from the Vietnam War. He didn't ask for a father who never got over it. He didn't ask for a mother who keeps pretending their dysfunctional family is fine. And he didn't ask to be the target of Nader McMillan's relentless bullying, which has finally gone too far. But Lucky has a secret--one that helps him wade through the daily mundane torture of his life. In his dreams, Lucky escapes to the war-ridden jungles of Laos--the prison his grandfather couldn't escape--where Lucky can be a real man, an adventurer, and a hero. It's dangerous and wild, and it's a place where his life just might be worth living. But how long can Lucky keep hiding in his dreams before reality forces its way inside? Michael L. Printz Honor recipient A.S. King's smart, funny and boldly original writing shines in this powerful novel about learning to cope with the shrapnel life throws at you and taking a stand against it.",2011-10-03,young adult fiction,3,-1.4104892,-0.784804,1.5266345
179,233,Indiana,Middlebury Community Schools,Administrator,Fall 2021,Banned from Libraries,"Levithan, David",Every Day (Every Day Series),,,,"THE NEW YORK TIMES BESTSELLER • NAMED ONE OF THE BEST BOOKS OF THE YEAR by Booklist • Kirkus Celebrate all the ways love makes us who we are with the romance that Entertainment Weekly calls ""wise, wildly unique""--from the bestselling co-author of Nick and Norah's Infinite Playlist and Will Grayson, Will Grayson--about a teen who wakes up every morning in a different body, living a different life. Now a major motion picture! Every day a different body. Every day a different life. Every day in love with the same girl. There’s never any warning about where it will be or who it will be. A has made peace with that, even established guidelines by which to live: Never get too attached. Avoid being noticed. Do not interfere. It’s all fine until the morning that A wakes up in the body of Justin and meets Justin’s girlfriend, Rhiannon. From that moment, the rules by which A has been living no longer apply. Because finally A has found someone he wants to be with—day in, day out, day after day. With his new novel, David Levithan, bestselling co-author of Will Grayson, Will Grayson, and Nick and Norah's Infinite Playlist, has pushed himself to new creative heights. He has written a captivating story that will fascinate readers as they begin to comprehend the complexities of life and love in A’s world, as A and Rhiannon seek to discover if you can truly love someone who is destined to change every day. “A story that is always alluring, oftentimes humorous and much like love itself— splendorous.” —Los Angeles Times",2012-08-28,young adult fiction,1,-1.1064736,-3.75001,-0.18436606
180,234,Indiana,Middlebury Community Schools,Administrator,Fall 2021,Banned from Libraries,"Medina, Meg",Burn Baby Burn,,,,"While violence runs rampant throughout New York, a teenage girl faces danger within her own home in Meg Medina's riveting coming-of-age novel. Nora Lopez is seventeen during the infamous New York summer of 1977, when the city is besieged by arson, a massive blackout, and a serial killer named Son of Sam who shoots young women on the streets. Nora’s family life isn’t going so well either: her bullying brother, Hector, is growing more threatening by the day, her mother is helpless and falling behind on the rent, and her father calls only on holidays. All Nora wants is to turn eighteen and be on her own. And while there is a cute new guy who started working with her at the deli, is dating even worth the risk when the killer likes picking off couples who stay out too late? Award-winning author Meg Medina transports us to a time when New York seemed balanced on a knife-edge, with tempers and temperatures running high, to share the story of a young woman who discovers that the greatest dangers are often closer than we like to admit — and the hardest to accept.",2016-03-08,young adult fiction,6,-3.4115796,2.6638744,2.053412
181,239,Indiana,Middlebury Community Schools,Administrator,Fall 2021,Banned from Libraries,"Rhodes-Courter, Ashley",Three Little Words: A Memoir,,,,"Traces the author's painful childhood in a series of foster homes, her deteriorating relationship with her emotionally unstable mother, abuse at the hands of a foster family, and her subsequent efforts to advocate for an improved foster care system.",2008-01-08,juvenile nonfiction,4,1.7836071,5.3273315,1.5673862
182,242,Iowa,Waukee,Administrator,October 2021,Banned Pending Investigation,"Evison, Jonathan",Lawn Boy,,,,"Winner of the Alex Award “Mike Muñoz Is a Holden Caulfield for a New Millennium--a '10th-generation peasant with a Mexican last name, raised by a single mom on an Indian reservation' . . . Evison, as in his previous four novels, has a light touch and humorously guides the reader, this time through the minefield that is working-class America.” --The New York Times Book Review For Mike Muñoz, life has been a whole lot of waiting for something to happen. Not too many years out of high school and still doing menial work--and just fired from his latest gig as a lawn boy on a landscaping crew--he’s smart enough to know that he’s got to be the one to shake things up if he’s ever going to change his life. But how? He’s not qualified for much of anything. He has no particular talents, although he is stellar at handling a lawn mower and wielding clipping shears. But now that career seems to be behind him. So what’s next for Mike Muñoz? In this funny, biting, touching, and ultimately inspiring novel, bestselling author Jonathan Evison takes the reader into the heart and mind of a young man determined to achieve the American dream of happiness and prosperity--who just so happens to find himself along the way.",2019-03-19,fiction,3,-0.47711086,-2.2335823,1.9584385
183,248,Kansas,Goddard Public Schools,Administrator,November 2021,Banned Pending Investigation,"Atwood, Margaret",The Handmaid's Tale The Graphic Novel,,"Nault, Renee",,"Provocative, startling, prophetic, and more relevant than ever, The Handmaid's Tale has become a global phenomenon. Now, in this stunning graphic novel edition of Margaret Atwood's modern classic, the terrifying reality of Gilead is brought to vivid life like never before. ""Everything Handmaids wear is red: the colour of blood, which defines us."" Offred is a Handmaid in the Republic of Gilead, where women are prohibited from holding jobs, reading, and forming friendships. She serves in the household of the Commander and his wife, and under the new social order she has only one purpose: once a month, she must lie on her back and pray that the Commander makes her pregnant, ecause in an age of declining births, Offred and the other Handmaids are valued only if they are fertile. But Offred remembers the years before Gilead, when she was an independent woman who had a job, a family, and a name of her own. Now, her memories and her will to survive are acts of rebellion. The Handmaid's Tale and its iconic images - the red of the Handmaids, the blue of the Wives, the looming ileadean Eye - have been adapted into a film, an opera, a ballet, and multi-award-winning TV series. This groundbreaking new graphic novel edition, adapted and featuring arresting artwork by Renée Nault, is destined to become a classic in its own right.",2019-03-26,,2,-0.4197783,0.8481797,-0.8279991
184,249,Kansas,Goddard Public Schools,Administrator,November 2021,Banned Pending Investigation,"Atwood, Margaret",The Testaments,,,,"NEW YORK TIMES BESTSELLER • WINNER OF THE BOOKER PRIZE • A modern masterpiece that ""reminds us of the power of truth in the face of evil” (People)—and can be read on its own or as a sequel to Margaret Atwood’s classic, The Handmaid’s Tale. “Atwood’s powers are on full display” (Los Angeles Times) in this deeply compelling Booker Prize-winning novel, now updated with additional content that explores the historical sources, ideas, and material that inspired Atwood. More than fifteen years after the events of The Handmaid's Tale, the theocratic regime of the Republic of Gilead maintains its grip on power, but there are signs it is beginning to rot from within. At this crucial moment, the lives of three radically different women converge, with potentially explosive results. Two have grown up as part of the first generation to come of age in the new order. The testimonies of these two young women are joined by a third: Aunt Lydia. Her complex past and uncertain future unfold in surprising and pivotal ways. With The Testaments, Margaret Atwood opens up the innermost workings of Gilead, as each woman is forced to come to terms with who she is, and how far she will go for what she believes.",2019-09-10,fiction,1,3.7348459,-3.172255,-0.95405257
185,250,Kansas,Goddard Public Schools,Administrator,November 2021,Banned Pending Investigation,"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,,,,"Boys, let us get up a club.With those words, six restless young men raided the linens at a friend’s mansion, pulled pillowcases over their heads, hopped on horses, and cavorted through the streets of Pulaski, Tennessee in 1866. The six friends named their club the Ku Klux Klan, and, all too quickly, their club grew into the self-proclaimed Invisible Empire with secret dens spread across the South.This is the story of how a secret terrorist group took root in America’s democracy. Filled with chilling and vivid personal accounts unearthed from oral histories, congressional documents, and diaries, this account from Newbery Honor-winning author Susan Campbell Bartoletti is a book to read and remember. A YALSA Award for Excellence in Nonfiction for Young Adults Finalist.",2013-09-03,young adult nonfiction,3,-0.38521832,-2.2237344,1.328881
186,251,Kansas,Goddard Public Schools,Administrator,November 2021,Banned Pending Investigation,"Bechdel, Alison",Fun Home: A Family Tragicomic,,,,"A memoir done in the form of a graphic novel by a cult favorite comic artist offers a darkly funny family portrait that details her relationship with her father--a funeral home director, high school English teacher, and closeted homosexual.",2007,biography & autobiography,1,0.662261,-3.41463,4.061597
187,252,Kansas,Goddard Public Schools,Administrator,November 2021,Banned Pending Investigation,"Bertie, Alex",Trans Mission: My Quest to a Beard,,,,"A brave firsthand account of online personality Alex Bertie's life, struggles, and victories as a transgender teen, as well as a groundbreaking guide for transitioning teens. Long before he became known for his YouTube videos, Alex Bertie was an isolated, often-afraid transgender teenager looking for answers. In this revolutionary memoir and valuable resource, Alex recounts his life, struggles, and victories as a young trans man. Along the way, he provides readers with accessible, highly researched explanations of gender, sexuality, and transitions. He explores without judgment how complicated all these things can be, and how many equally authentic ways there are to live as yourself and find happiness. It can be hard for questioning teens to believe in a brighter future, let alone find any sense of community. Here, with clarity and compassion, Alex writes as a supportive older brother for transitioning teens, their allies, their parents, and anyone looking to better understand others -- and themselves.",2019-05-14,young adult nonfiction,7,2.2750516,-0.84412396,1.1739916
188,257,Kansas,Goddard Public Schools,Administrator,November 2021,Banned Pending Investigation,"Durrow, Heidi W.",The Girl Who Fell from the Sky,,,,"After a family tragedy orphans her, Rachel, the daughter of a Danish mother and a black G.I., moves into her grandmother's mostly black community in the 1980s, where she must swallow her grief and confront her identity as a biracial woman in a world that wants to see her as either black or white. A first novel. Reprint.",2011-01-01,fiction,6,0.71822464,3.7016354,-0.4561969
189,259,Kansas,Goddard Public Schools,Administrator,November 2021,Banned Pending Investigation,"Gephart, Donna",Lily and Dunkin,,,,"Dunkin Dorfman, birth name Norbert Dorfman, is dealing with bipolar disorder and has just moved from the New Jersey town hes called home for the past thirteen years. This would be hard enough, but the fact that he is also hiding from a painful secret makes it even worse.",2016,juvenile fiction,3,-2.1841173,0.1031687,3.4608147
